Id;Measure;Perioden;Value;StringValue;ValueAttribute
0;M000238;1963MM01;3,9;;None
1;M000239;1963MM01;;;Impossible
2;M000238;1963MM02;5,8;;None
3;M000239;1963MM02;;;Impossible
4;M000238;1963MM03;4,8;;None
5;M000239;1963MM03;;;Impossible
6;M000238;1963MM04;1,9;;None
7;M000239;1963MM04;;;Impossible
8;M000238;1963MM05;2,8;;None
9;M000239;1963MM05;;;Impossible
10;M000238;1963MM06;1,9;;None
11;M000239;1963MM06;;;Impossible
12;M000238;1963MM07;1,9;;None
13;M000239;1963MM07;;;Impossible
14;M000238;1963MM08;1,9;;None
15;M000239;1963MM08;;;Impossible
16;M000238;1963MM09;2,8;;None
17;M000239;1963MM09;;;Impossible
18;M000238;1963MM10;3,8;;None
19;M000239;1963MM10;;;Impossible
20;M000238;1963MM11;3,8;;None
21;M000239;1963MM11;;;Impossible
22;M000238;1963MM12;3,8;;None
23;M000239;1963MM12;;;Impossible
24;M000238;1963JJ00;3,8;;None
25;M000239;1963JJ00;;;Impossible
26;M000238;1964MM01;4,7;;None
27;M000239;1964MM01;;;Impossible
28;M000238;1964MM02;2,8;;None
29;M000239;1964MM02;;;Impossible
30;M000238;1964MM03;3,7;;None
31;M000239;1964MM03;;;Impossible
32;M000238;1964MM04;7,3;;None
33;M000239;1964MM04;;;Impossible
34;M000238;1964MM05;5,5;;None
35;M000239;1964MM05;;;Impossible
36;M000238;1964MM06;4,5;;None
37;M000239;1964MM06;;;Impossible
38;M000238;1964MM07;7,5;;None
39;M000239;1964MM07;;;Impossible
40;M000238;1964MM08;8,4;;None
41;M000239;1964MM08;;;Impossible
42;M000238;1964MM09;7,3;;None
43;M000239;1964MM09;;;Impossible
44;M000238;1964MM10;6,4;;None
45;M000239;1964MM10;;;Impossible
46;M000238;1964MM11;6,4;;None
47;M000239;1964MM11;;;Impossible
48;M000238;1964MM12;5,5;;None
49;M000239;1964MM12;;;Impossible
50;M000238;1964JJ00;5,5;;None
51;M000239;1964JJ00;;;Impossible
52;M000238;1965MM01;3,6;;None
53;M000239;1965MM01;;;Impossible
54;M000238;1965MM02;4,5;;None
55;M000239;1965MM02;;;Impossible
56;M000238;1965MM03;5,3;;None
57;M000239;1965MM03;;;Impossible
58;M000238;1965MM04;3,4;;None
59;M000239;1965MM04;;;Impossible
60;M000238;1965MM05;6,1;;None
61;M000239;1965MM05;;;Impossible
62;M000238;1965MM06;7;;None
63;M000239;1965MM06;;;Impossible
64;M000238;1965MM07;6,1;;None
65;M000239;1965MM07;;;Impossible
66;M000238;1965MM08;4,3;;None
67;M000239;1965MM08;;;Impossible
68;M000238;1965MM09;5,1;;None
69;M000239;1965MM09;;;Impossible
70;M000238;1965MM10;4,3;;None
71;M000239;1965MM10;;;Impossible
72;M000238;1965MM11;5,2;;None
73;M000239;1965MM11;;;Impossible
74;M000238;1965MM12;6;;None
75;M000239;1965MM12;;;Impossible
76;M000238;1965JJ00;5,2;;None
77;M000239;1965JJ00;;;Impossible
78;M000238;1966MM01;6,9;;None
79;M000239;1966MM01;;;Impossible
80;M000238;1966MM02;7,7;;None
81;M000239;1966MM02;;;Impossible
82;M000238;1966MM03;6,7;;None
83;M000239;1966MM03;;;Impossible
84;M000238;1966MM04;7,4;;None
85;M000239;1966MM04;;;Impossible
86;M000238;1966MM05;6,6;;None
87;M000239;1966MM05;;;Impossible
88;M000238;1966MM06;5,7;;None
89;M000239;1966MM06;;;Impossible
90;M000238;1966MM07;4,9;;None
91;M000239;1966MM07;;;Impossible
92;M000238;1966MM08;5,8;;None
93;M000239;1966MM08;;;Impossible
94;M000238;1966MM09;4,1;;None
95;M000239;1966MM09;;;Impossible
96;M000238;1966MM10;5,8;;None
97;M000239;1966MM10;;;Impossible
98;M000238;1966MM11;4,9;;None
99;M000239;1966MM11;;;Impossible
100;M000238;1966MM12;4,1;;None
101;M000239;1966MM12;;;Impossible
102;M000238;1966JJ00;5,8;;None
103;M000239;1966JJ00;;;Impossible
104;M000238;1967MM01;3,2;;None
105;M000239;1967MM01;;;Impossible
106;M000238;1967MM02;2,4;;None
107;M000239;1967MM02;;;Impossible
108;M000238;1967MM03;2,4;;None
109;M000239;1967MM03;;;Impossible
110;M000238;1967MM04;2,3;;None
111;M000239;1967MM04;;;Impossible
112;M000238;1967MM05;2,3;;None
113;M000239;1967MM05;;;Impossible
114;M000238;1967MM06;3,8;;None
115;M000239;1967MM06;;;Impossible
116;M000238;1967MM07;3,9;;None
117;M000239;1967MM07;;;Impossible
118;M000238;1967MM08;3,9;;None
119;M000239;1967MM08;;;Impossible
120;M000238;1967MM09;3,9;;None
121;M000239;1967MM09;;;Impossible
122;M000238;1967MM10;3,1;;None
123;M000239;1967MM10;;;Impossible
124;M000238;1967MM11;3,1;;None
125;M000239;1967MM11;;;Impossible
126;M000238;1967MM12;3,9;;None
127;M000239;1967MM12;;;Impossible
128;M000238;1967JJ00;3,1;;None
129;M000239;1967JJ00;;;Impossible
130;M000238;1968MM01;4;;None
131;M000239;1968MM01;;;Impossible
132;M000238;1968MM02;3,9;;None
133;M000239;1968MM02;;;Impossible
134;M000238;1968MM03;3,9;;None
135;M000239;1968MM03;;;Impossible
136;M000238;1968MM04;3,7;;None
137;M000239;1968MM04;;;Impossible
138;M000238;1968MM05;3,8;;None
139;M000239;1968MM05;;;Impossible
140;M000238;1968MM06;3,9;;None
141;M000239;1968MM06;;;Impossible
142;M000238;1968MM07;3,2;;None
143;M000239;1968MM07;;;Impossible
144;M000238;1968MM08;3,3;;None
145;M000239;1968MM08;;;Impossible
146;M000238;1968MM09;3,3;;None
147;M000239;1968MM09;;;Impossible
148;M000238;1968MM10;3,6;;None
149;M000239;1968MM10;;;Impossible
150;M000238;1968MM11;3,8;;None
151;M000239;1968MM11;;;Impossible
152;M000238;1968MM12;4,2;;None
153;M000239;1968MM12;;;Impossible
154;M000238;1968JJ00;3,7;;None
155;M000239;1968JJ00;;;Impossible
156;M000238;1969MM01;7,3;;None
157;M000239;1969MM01;;;Impossible
158;M000238;1969MM02;7,6;;None
159;M000239;1969MM02;;;Impossible
160;M000238;1969MM03;7,9;;None
161;M000239;1969MM03;;;Impossible
162;M000238;1969MM04;8,3;;None
163;M000239;1969MM04;;;Impossible
164;M000238;1969MM05;8,1;;None
165;M000239;1969MM05;;;Impossible
166;M000238;1969MM06;7,9;;None
167;M000239;1969MM06;;;Impossible
168;M000238;1969MM07;7,3;;None
169;M000239;1969MM07;;;Impossible
170;M000238;1969MM08;6,9;;None
171;M000239;1969MM08;;;Impossible
172;M000238;1969MM09;7,2;;None
173;M000239;1969MM09;;;Impossible
174;M000238;1969MM10;7,2;;None
175;M000239;1969MM10;;;Impossible
176;M000238;1969MM11;6,9;;None
177;M000239;1969MM11;;;Impossible
178;M000238;1969MM12;6,5;;None
179;M000239;1969MM12;;;Impossible
180;M000238;1969JJ00;7,5;;None
181;M000239;1969JJ00;;;Impossible
182;M000238;1970MM01;3,3;;None
183;M000239;1970MM01;;;Impossible
184;M000238;1970MM02;3,4;;None
185;M000239;1970MM02;;;Impossible
186;M000238;1970MM03;3,6;;None
187;M000239;1970MM03;;;Impossible
188;M000238;1970MM04;3,2;;None
189;M000239;1970MM04;;;Impossible
190;M000238;1970MM05;3,3;;None
191;M000239;1970MM05;;;Impossible
192;M000238;1970MM06;3,8;;None
193;M000239;1970MM06;;;Impossible
194;M000238;1970MM07;5;;None
195;M000239;1970MM07;;;Impossible
196;M000238;1970MM08;5,4;;None
197;M000239;1970MM08;;;Impossible
198;M000238;1970MM09;5,6;;None
199;M000239;1970MM09;;;Impossible
200;M000238;1970MM10;5,4;;None
201;M000239;1970MM10;;;Impossible
202;M000238;1970MM11;5,6;;None
203;M000239;1970MM11;;;Impossible
204;M000238;1970MM12;5,7;;None
205;M000239;1970MM12;;;Impossible
206;M000238;1970JJ00;4,4;;None
207;M000239;1970JJ00;;;Impossible
208;M000238;1971MM01;6,3;;None
209;M000239;1971MM01;;;Impossible
210;M000238;1971MM02;6,9;;None
211;M000239;1971MM02;;;Impossible
212;M000238;1971MM03;6,6;;None
213;M000239;1971MM03;;;Impossible
214;M000238;1971MM04;7,5;;None
215;M000239;1971MM04;;;Impossible
216;M000238;1971MM05;7,8;;None
217;M000239;1971MM05;;;Impossible
218;M000238;1971MM06;7,7;;None
219;M000239;1971MM06;;;Impossible
220;M000238;1971MM07;7,6;;None
221;M000239;1971MM07;;;Impossible
222;M000238;1971MM08;7,6;;None
223;M000239;1971MM08;;;Impossible
224;M000238;1971MM09;7,7;;None
225;M000239;1971MM09;;;Impossible
226;M000238;1971MM10;8,3;;None
227;M000239;1971MM10;;;Impossible
228;M000238;1971MM11;8,3;;None
229;M000239;1971MM11;;;Impossible
230;M000238;1971MM12;8,8;;None
231;M000239;1971MM12;;;Impossible
232;M000238;1971JJ00;7,6;;None
233;M000239;1971JJ00;;;Impossible
234;M000238;1972MM01;8,2;;None
235;M000239;1972MM01;;;Impossible
236;M000238;1972MM02;7,7;;None
237;M000239;1972MM02;;;Impossible
238;M000238;1972MM03;7,9;;None
239;M000239;1972MM03;;;Impossible
240;M000238;1972MM04;8;;None
241;M000239;1972MM04;;;Impossible
242;M000238;1972MM05;7,7;;None
243;M000239;1972MM05;;;Impossible
244;M000238;1972MM06;7,8;;None
245;M000239;1972MM06;;;Impossible
246;M000238;1972MM07;7,3;;None
247;M000239;1972MM07;;;Impossible
248;M000238;1972MM08;7,4;;None
249;M000239;1972MM08;;;Impossible
250;M000238;1972MM09;7,4;;None
251;M000239;1972MM09;;;Impossible
252;M000238;1972MM10;8,1;;None
253;M000239;1972MM10;;;Impossible
254;M000238;1972MM11;8,2;;None
255;M000239;1972MM11;;;Impossible
256;M000238;1972MM12;7,9;;None
257;M000239;1972MM12;;;Impossible
258;M000238;1972JJ00;7,8;;None
259;M000239;1972JJ00;;;Impossible
260;M000238;1973MM01;7,9;;None
261;M000239;1973MM01;;;Impossible
262;M000238;1973MM02;7,5;;None
263;M000239;1973MM02;;;Impossible
264;M000238;1973MM03;7,6;;None
265;M000239;1973MM03;;;Impossible
266;M000238;1973MM04;8;;None
267;M000239;1973MM04;;;Impossible
268;M000238;1973MM05;8,3;;None
269;M000239;1973MM05;;;Impossible
270;M000238;1973MM06;8,3;;None
271;M000239;1973MM06;;;Impossible
272;M000238;1973MM07;8,4;;None
273;M000239;1973MM07;;;Impossible
274;M000238;1973MM08;8,1;;None
275;M000239;1973MM08;;;Impossible
276;M000238;1973MM09;8,2;;None
277;M000239;1973MM09;;;Impossible
278;M000238;1973MM10;7,9;;None
279;M000239;1973MM10;;;Impossible
280;M000238;1973MM11;7,9;;None
281;M000239;1973MM11;;;Impossible
282;M000238;1973MM12;8,2;;None
283;M000239;1973MM12;;;Impossible
284;M000238;1973JJ00;8;;None
285;M000239;1973JJ00;;;Impossible
286;M000238;1974MM01;8,2;;None
287;M000239;1974MM01;;;Impossible
288;M000238;1974MM02;8,8;;None
289;M000239;1974MM02;;;Impossible
290;M000238;1974MM03;9,2;;None
291;M000239;1974MM03;;;Impossible
292;M000238;1974MM04;8,9;;None
293;M000239;1974MM04;;;Impossible
294;M000238;1974MM05;8,7;;None
295;M000239;1974MM05;;;Impossible
296;M000238;1974MM06;8,9;;None
297;M000239;1974MM06;;;Impossible
298;M000238;1974MM07;9,5;;None
299;M000239;1974MM07;;;Impossible
300;M000238;1974MM08;9,8;;None
301;M000239;1974MM08;;;Impossible
302;M000238;1974MM09;10,3;;None
303;M000239;1974MM09;;;Impossible
304;M000238;1974MM10;10,7;;None
305;M000239;1974MM10;;;Impossible
306;M000238;1974MM11;11;;None
307;M000239;1974MM11;;;Impossible
308;M000238;1974MM12;10,9;;None
309;M000239;1974MM12;;;Impossible
310;M000238;1974JJ00;9,6;;None
311;M000239;1974JJ00;;;Impossible
312;M000238;1975MM01;11,1;;None
313;M000239;1975MM01;;;Impossible
314;M000238;1975MM02;10,3;;None
315;M000239;1975MM02;;;Impossible
316;M000238;1975MM03;10,3;;None
317;M000239;1975MM03;;;Impossible
318;M000238;1975MM04;10,3;;None
319;M000239;1975MM04;;;Impossible
320;M000238;1975MM05;10,4;;None
321;M000239;1975MM05;;;Impossible
322;M000238;1975MM06;10,3;;None
323;M000239;1975MM06;;;Impossible
324;M000238;1975MM07;10,5;;None
325;M000239;1975MM07;;;Impossible
326;M000238;1975MM08;10,7;;None
327;M000239;1975MM08;;;Impossible
328;M000238;1975MM09;10,4;;None
329;M000239;1975MM09;;;Impossible
330;M000238;1975MM10;9,9;;None
331;M000239;1975MM10;;;Impossible
332;M000238;1975MM11;9,4;;None
333;M000239;1975MM11;;;Impossible
334;M000238;1975MM12;9,1;;None
335;M000239;1975MM12;;;Impossible
336;M000238;1975JJ00;10,2;;None
337;M000239;1975JJ00;;;Impossible
338;M000238;1976MM01;8,7;;None
339;M000239;1976MM01;;;Impossible
340;M000238;1976MM02;9,4;;None
341;M000239;1976MM02;;;Impossible
342;M000238;1976MM03;8,9;;None
343;M000239;1976MM03;;;Impossible
344;M000238;1976MM04;9,8;;None
345;M000239;1976MM04;;;Impossible
346;M000238;1976MM05;9,6;;None
347;M000239;1976MM05;;;Impossible
348;M000238;1976MM06;9,4;;None
349;M000239;1976MM06;;;Impossible
350;M000238;1976MM07;8,2;;None
351;M000239;1976MM07;;;Impossible
352;M000238;1976MM08;8,3;;None
353;M000239;1976MM08;;;Impossible
354;M000238;1976MM09;8,1;;None
355;M000239;1976MM09;;;Impossible
356;M000238;1976MM10;8,7;;None
357;M000239;1976MM10;;;Impossible
358;M000238;1976MM11;8,5;;None
359;M000239;1976MM11;;;Impossible
360;M000238;1976MM12;8,3;;None
361;M000239;1976MM12;;;Impossible
362;M000238;1976JJ00;8,8;;None
363;M000239;1976JJ00;;;Impossible
364;M000238;1977MM01;7,6;;None
365;M000239;1977MM01;;;Impossible
366;M000238;1977MM02;7,4;;None
367;M000239;1977MM02;;;Impossible
368;M000238;1977MM03;7,3;;None
369;M000239;1977MM03;;;Impossible
370;M000238;1977MM04;6,8;;None
371;M000239;1977MM04;;;Impossible
372;M000238;1977MM05;7;;None
373;M000239;1977MM05;;;Impossible
374;M000238;1977MM06;7,2;;None
375;M000239;1977MM06;;;Impossible
376;M000238;1977MM07;7,5;;None
377;M000239;1977MM07;;;Impossible
378;M000238;1977MM08;6,8;;None
379;M000239;1977MM08;;;Impossible
380;M000238;1977MM09;6,4;;None
381;M000239;1977MM09;;;Impossible
382;M000238;1977MM10;5,4;;None
383;M000239;1977MM10;;;Impossible
384;M000238;1977MM11;5,5;;None
385;M000239;1977MM11;;;Impossible
386;M000238;1977MM12;5,4;;None
387;M000239;1977MM12;;;Impossible
388;M000238;1977JJ00;6,7;;None
389;M000239;1977JJ00;;;Impossible
390;M000238;1978MM01;4,6;;None
391;M000239;1978MM01;;;Impossible
392;M000238;1978MM02;4,3;;None
393;M000239;1978MM02;;;Impossible
394;M000238;1978MM03;4,8;;None
395;M000239;1978MM03;;;Impossible
396;M000238;1978MM04;3,6;;None
397;M000239;1978MM04;;;Impossible
398;M000238;1978MM05;3,5;;None
399;M000239;1978MM05;;;Impossible
400;M000238;1978MM06;3,4;;None
401;M000239;1978MM06;;;Impossible
402;M000238;1978MM07;4,1;;None
403;M000239;1978MM07;;;Impossible
404;M000238;1978MM08;4,2;;None
405;M000239;1978MM08;;;Impossible
406;M000238;1978MM09;4,4;;None
407;M000239;1978MM09;;;Impossible
408;M000238;1978MM10;4,2;;None
409;M000239;1978MM10;;;Impossible
410;M000238;1978MM11;4;;None
411;M000239;1978MM11;;;Impossible
412;M000238;1978MM12;3,9;;None
413;M000239;1978MM12;;;Impossible
414;M000238;1978JJ00;4,1;;None
415;M000239;1978JJ00;;;Impossible
416;M000238;1979MM01;4,1;;None
417;M000239;1979MM01;;;Impossible
418;M000238;1979MM02;4,2;;None
419;M000239;1979MM02;;;Impossible
420;M000238;1979MM03;4,4;;None
421;M000239;1979MM03;;;Impossible
422;M000238;1979MM04;4,3;;None
423;M000239;1979MM04;;;Impossible
424;M000238;1979MM05;4,1;;None
425;M000239;1979MM05;;;Impossible
426;M000238;1979MM06;4,2;;None
427;M000239;1979MM06;;;Impossible
428;M000238;1979MM07;3,8;;None
429;M000239;1979MM07;;;Impossible
430;M000238;1979MM08;3,8;;None
431;M000239;1979MM08;;;Impossible
432;M000238;1979MM09;3,9;;None
433;M000239;1979MM09;;;Impossible
434;M000238;1979MM10;4,4;;None
435;M000239;1979MM10;;;Impossible
436;M000238;1979MM11;4,6;;None
437;M000239;1979MM11;;;Impossible
438;M000238;1979MM12;4,8;;None
439;M000239;1979MM12;;;Impossible
440;M000238;1979JJ00;4,2;;None
441;M000239;1979JJ00;;;Impossible
442;M000238;1980MM01;5,6;;None
443;M000239;1980MM01;;;Impossible
444;M000238;1980MM02;5,9;;None
445;M000239;1980MM02;;;Impossible
446;M000238;1980MM03;5,9;;None
447;M000239;1980MM03;;;Impossible
448;M000238;1980MM04;6,4;;None
449;M000239;1980MM04;;;Impossible
450;M000238;1980MM05;6,6;;None
451;M000239;1980MM05;;;Impossible
452;M000238;1980MM06;6,6;;None
453;M000239;1980MM06;;;Impossible
454;M000238;1980MM07;7,1;;None
455;M000239;1980MM07;;;Impossible
456;M000238;1980MM08;7,1;;None
457;M000239;1980MM08;;;Impossible
458;M000238;1980MM09;7;;None
459;M000239;1980MM09;;;Impossible
460;M000238;1980MM10;6,7;;None
461;M000239;1980MM10;;;Impossible
462;M000238;1980MM11;6,7;;None
463;M000239;1980MM11;;;Impossible
464;M000238;1980MM12;6,7;;None
465;M000239;1980MM12;;;Impossible
466;M000238;1980JJ00;6,5;;None
467;M000239;1980JJ00;;;Impossible
468;M000238;1981MM01;6,9;;None
469;M000239;1981MM01;;;Impossible
470;M000238;1981MM02;6,6;;None
471;M000239;1981MM02;;;Impossible
472;M000238;1981MM03;6,6;;None
473;M000239;1981MM03;;;Impossible
474;M000238;1981MM04;6,3;;None
475;M000239;1981MM04;;;Impossible
476;M000238;1981MM05;6,5;;None
477;M000239;1981MM05;;;Impossible
478;M000238;1981MM06;6,7;;None
479;M000239;1981MM06;;;Impossible
480;M000238;1981MM07;6,6;;None
481;M000239;1981MM07;;;Impossible
482;M000238;1981MM08;6,4;;None
483;M000239;1981MM08;;;Impossible
484;M000238;1981MM09;6,8;;None
485;M000239;1981MM09;;;Impossible
486;M000238;1981MM10;7,1;;None
487;M000239;1981MM10;;;Impossible
488;M000238;1981MM11;7,3;;None
489;M000239;1981MM11;;;Impossible
490;M000238;1981MM12;7,2;;None
491;M000239;1981MM12;;;Impossible
492;M000238;1981JJ00;6,7;;None
493;M000239;1981JJ00;;;Impossible
494;M000238;1982MM01;7;;None
495;M000239;1982MM01;;;Impossible
496;M000238;1982MM02;6,8;;None
497;M000239;1982MM02;;;Impossible
498;M000238;1982MM03;6,9;;None
499;M000239;1982MM03;;;Impossible
500;M000238;1982MM04;6,6;;None
501;M000239;1982MM04;;;Impossible
502;M000238;1982MM05;6,3;;None
503;M000239;1982MM05;;;Impossible
504;M000238;1982MM06;6,5;;None
505;M000239;1982MM06;;;Impossible
506;M000238;1982MM07;6,1;;None
507;M000239;1982MM07;;;Impossible
508;M000238;1982MM08;5,9;;None
509;M000239;1982MM08;;;Impossible
510;M000238;1982MM09;5,4;;None
511;M000239;1982MM09;;;Impossible
512;M000238;1982MM10;4,9;;None
513;M000239;1982MM10;;;Impossible
514;M000238;1982MM11;4,6;;None
515;M000239;1982MM11;;;Impossible
516;M000238;1982MM12;4,3;;None
517;M000239;1982MM12;;;Impossible
518;M000238;1982JJ00;6;;None
519;M000239;1982JJ00;;;Impossible
520;M000238;1983MM01;3,6;;None
521;M000239;1983MM01;;;Impossible
522;M000238;1983MM02;3,3;;None
523;M000239;1983MM02;;;Impossible
524;M000238;1983MM03;2,7;;None
525;M000239;1983MM03;;;Impossible
526;M000238;1983MM04;2,7;;None
527;M000239;1983MM04;;;Impossible
